"Town","FIPS","Year","Year Submitted","Town Profile Year","Rank","Variable","Measure Type","Value"
"Andover","0901301080",2014,2014,2016,"1","Employer","Name","Andover Elementary School"
"Andover","0901301080",2014,2014,2016,"2","Employer","Name","Andover Fire Dept"
"Andover","0901301080",2014,2014,2016,"3","Employer","Name","Benjamin Franklin Plumbing"
"Andover","0901301080",2014,2014,2016,"4","Employer","Name","Channel 3 Kids Camp"
"Andover","0901301080",2014,2014,2016,"5","Employer","Name","Scott Electrokrafts Inc"
"Andover","0901301080",2014,2014,2017,"1","Employer","Name","Andover Elementary School"
"Andover","0901301080",2014,2014,2017,"2","Employer","Name","Andover Fire Dept"
"Andover","0901301080",2014,2014,2017,"3","Employer","Name","Benjamin Franklin Plumbing"
"Andover","0901301080",2014,2014,2017,"4","Employer","Name","Channel 3 Kids Camp"
"Andover","0901301080",2014,2014,2017,"5","Employer","Name","Scott Electrokrafts Inc"
"Andover","0901301080",2014,2014,2018,"1","Employer","Name","Andover Elementary School"
"Andover","0901301080",2014,2014,2018,"2","Employer","Name","Andover Fire Dept"
"Andover","0901301080",2014,2014,2018,"3","Employer","Name","Benjamin Franklin Plumbing"
"Andover","0901301080",2014,2014,2018,"4","Employer","Name","Channel 3 Kids Camp"
"Andover","0901301080",2014,2014,2018,"5","Employer","Name","Scott Electrokrafts Inc"
"Ansonia","0900901220",2014,2014,2016,"1","Employer","Name","Ansonia Board of Education"
"Ansonia","0900901220",2014,2014,2016,"2","Employer","Name","Big Y World Class Market"
"Ansonia","0900901220",2014,2014,2016,"3","Employer","Name","Farrel Corp"
"Ansonia","0900901220",2014,2014,2016,"4","Employer","Name","Target"
"Ansonia","0900901220",2014,2014,2016,"5","Employer","Name","YMCA"
"Ansonia","0900901220",2016,2017,2017,"1","Employer","Name","Farrel Corporation"
"Ansonia","0900901220",2016,2017,2017,"2","Employer","Name","Big Y"
"Ansonia","0900901220",2016,2017,2017,"3","Employer","Name","Target Corporation"
"Ansonia","0900901220",2016,2017,2017,"4","Employer","Name","United Illuminating"
"Ansonia","0900901220",2016,2017,2017,"5","Employer","Name","Yankee Gas"
"Ansonia","0900901220",2016,2017,2018,"1","Employer","Name","Farrel Corporation"
"Ansonia","0900901220",2016,2017,2018,"2","Employer","Name","Big Y"
"Ansonia","0900901220",2016,2017,2018,"3","Employer","Name","Target Corporation"
"Ansonia","0900901220",2016,2017,2018,"4","Employer","Name","United Illuminating"
"Ansonia","0900901220",2016,2017,2018,"5","Employer","Name","Yankee Gas"
"Ashford","0901501430",2014,2014,2016,"1","Employer","Name","Ashford Schools"
"Ashford","0901501430",2014,2014,2016,"2","Employer","Name","Church of Jesus Christ of Lds"
"Ashford","0901501430",2014,2014,2016,"3","Employer","Name","Connri Camp Youth Camp"
"Ashford","0901501430",2014,2014,2016,"4","Employer","Name","Hole In the Wall Gang Camp"
"Ashford","0901501430",2014,2014,2016,"5","Employer","Name","Webster Boy Scouts Reservation"
"Ashford","0901501430",2016,2017,2017,"1","Employer","Name","Ashford Board of Education"
"Ashford","0901501430",2016,2017,2017,"2","Employer","Name","Town of Ashford"
"Ashford","0901501430",2016,2017,2017,"3","Employer","Name","Pith Products"
"Ashford","0901501430",2016,2017,2017,"4","Employer","Name","Midway Restaurant"
"Ashford","0901501430",2016,2017,2017,"5","Employer","Name","North Veterinary Clinic"
"Ashford","0901501430",2016,2017,2018,"1","Employer","Name","Ashford Board of Education"
"Ashford","0901501430",2016,2017,2018,"2","Employer","Name","Town of Ashford"
"Ashford","0901501430",2016,2017,2018,"3","Employer","Name","Pith Products"
"Ashford","0901501430",2016,2017,2018,"4","Employer","Name","Midway Restaurant"
