Timestamp,Town,Employer 1,Employer 1 (# of employees),Employer 2,Employer 2 (# of employees),Employer 3,Employer 3 (# of employees),Employer 4,Employer 4 (# of employees),Employer 5,Employer 5 (# of employees),,Comments
8/20/19 15:18,Ledyard,Foxwoods Resort Casino,,Ledyard Board of Education,,Town of Ledyard,,Hard Rock Cafe,,CVS,,,
8/20/19 15:30,STERLING,STERLING COMMUNITY SCHOOL,,"WESTMARK IMPRINTABLES, INC",,DETOTEC NORTH AMERICA,,MAXAM INITIATION SYSTEMS,,DUBOIS CHEMICALS,,,WE DO NOT HAVE THE NUMBER OF EMPLOYEES FOR THESE COMPANIES
8/20/19 15:52,Berlin,Eversource,1232,Town of Berlin,567,Comcast,520,Assa Abloy,410,Keep Me Home,320,,
8/20/19 16:29,Mansfield,University of Connecticut,3109 Full time Main Campus & Regional,Natchaug Hospital,545,Town of Mansfield/Board of Education,201-500,Big Y Supermarket,176,Mansfield Center for Nursing & Rehab,160,,
8/20/19 16:51,Woodbridge,Town of Woodbridge,428,Amity Regional School District No 5,337,Jewish Community Center,2275,Genesis - The Willows,110,Coachmans Square,92,,
8/20/19 18:46,Bethlehem,Newport Academy,,Region 14,,Town of Bethlehem,,Wellspring,,Woodhall School,,,
8/21/19 7:39,Ledyard,Foxwoods Resort Casino,,Ledyard Board of Education,,Town of Ledyard,,Hard Rock Cafe,,CVS,,,
8/21/19 8:07,Hebron,RHAM BOARD OF EDUCATION,,TOWN OF HEBRON,,TED'S SUPERMARKET,,HEBRON BOARD OF EDUCATION,,HEBRON SENIOR LIVING LLC (COLEBROOK VILLAGE),,,"There is no list of actual number of employees for businesses, this list is estimated and the # of employees is not available so no estimate is given."
8/21/19 8:12,Sterling,Sterling Community School,,Westmark Imprintables Inc,,Detotec North America,,Maxam Initiation Systems,,Dubois Chemicals,,,Do not have information on # of Employees
8/21/19 8:39,Burlington,SUPREME FOREST PRODUCTS INC,32,CRESCENT MFG OPERATING CO,31,BURLINGTON ACADEMY OF LEARNING,30,DUNKIN DONUTS (295 SPIELMAN LLC),23,BURLINGTON VETERINARY CENTER,12,,THESE NUMBERS HAVE NOT BEEN VERIFIED BUT ARE APPROXIMATE
8/21/19 9:01,Watertown,Siemon Company,,Crystal Rock Water Company,,Taft School,,Global Steering,,Albea Metal Americas,,,I don't have information about number of employees
8/21/19 9:09,BROOKFIELD,TOWN OF BROOKFIELD (SCHOOL & TOWN EMPLOYEES),600,Costco,292,ShopRite Supermarket,225,Photronics,158,BJ's,109,,"I left messages for chick fil a, Kohls, and McDonalds and haven't gotten a response yet. If I receive any additional information, I will let you know."
8/21/19 9:14,East Hartford,Pratt & Whitney,"8,700",Town of East Hartford,"1,685",Goodwin College,606,Coca-Cola Bottling Company of Northern New England,600,Riverside Health Center,420,,
8/21/19 9:15,Winchester,Town Of Winchester,225,Howmet Coporation,185,Electric Motion,130,NW CT Community College,100,Foothills Visiting Nurse,65,,
8/21/19 9:24,Mansfield,University of Connecticut,3109,Natchaug Hospital,545,Town of Mansfield/BOE,385,Big Y Inc,176,Mansfield Center for Nursing & Rehab,160,,
8/21/19 9:37,West Hartford,Town of West Hartford,2003,University of West Hartford,1512,Hospital at Hebrew Healthcare,750,"Wiremold/Legrand Products, Inc.",750,UTC Aerospace/Triump Engine Control Systems,375,,5390
8/21/19 9:41,Stamford,Stamford Health,"3,600",Stamford Town Center,"1,500",Gartner,"1,300",Deloitte,"1,150",Charter Communications,"1,000",,Top 5 Private Employers
8/21/19 9:59,Cornwall,Mohawk Mountain Ski Area,,Town of Cornwall,,Northeast Builders,,National Iron Bank,,,,,
8/21/19 11:00,New Britain,City of New Britain,"1,873",Hospital of Central Ct,"1,536",Central Ct State University,"1,522",Hospital of Special Care,"1,223",Stanley Black & Decker,600,,
8/21/19 12:09,Stonington,DAVIS STANDARD LLC,#401,AQUARION WATER CO,#280,CAW LLC,#207,MCQUADES MARKET INC,#125,BIG Y FOODS INC,#122,,
