Town,Year,Variable,Value
Andover,1997,Major Employer 1,Town of Andover
Andover,1997,Major Employer 2,Scott Electrokrafts
Andover,1997,Major Employer 3,MTM Corp.
Andover,1997,Major Employer 4 ,Protech
Andover,1997,Major Employer 5,SDR Industries
Andover,1997,Major Employer 6,
Andover,1997,Major Employer 7,
Andover,1997,Major Employer 8,
Andover,1997,Major Employer 9,
Andover,1997,Major Employer 10,
Ansonia,1997,Major Employer 1,Ansonia Copper & Brass
Ansonia,1997,Major Employer 2,City of Ansonia
Ansonia,1997,Major Employer 3,Farrell Corporation
Ansonia,1997,Major Employer 4 ,Big Y World Class Market
Ansonia,1997,Major Employer 5,Stop & Shop
Ansonia,1997,Major Employer 6,First Union National Bank
Ansonia,1997,Major Employer 7,Latex Foam Products Inc
Ansonia,1997,Major Employer 8,"HMP, Inc"
Ansonia,1997,Major Employer 9,Emmett O'Brien Regional School
Ansonia,1997,Major Employer 10,"Spectrum Plastics Molding Resources, Inc."
Ashford,1997,Major Employer 1,Town of Ashford
Ashford,1997,Major Employer 2,Yegale Technology
Ashford,1997,Major Employer 3,Cumberland Farms
Ashford,1997,Major Employer 4,Midway Restaurant
Ashford,1997,Major Employer 5,Terry's Transmission
Ashford,1997,Major Employer 6,
Ashford,1997,Major Employer 7,
Ashford,1997,Major Employer 8,
Ashford,1997,Major Employer 9,
Ashford,1997,Major Employer 10,
Avon,1997,Major Employer 1,Security-Conn Life Insurance
Avon,1997,Major Employer 2,CT On-Line Computer
Avon,1997,Major Employer 3,Eastern Color Printing
Avon,1997,Major Employer 4,ITT Hartford
Avon,1997,Major Employer 5,Finast Supermarkets
Avon,1997,Major Employer 6,
Avon,1997,Major Employer 7,
Avon,1997,Major Employer 8,
Avon,1997,Major Employer 9,
Avon,1997,Major Employer 10,
Barkhamsted,1997,Major Employer 1,Metropolitan Water District
Barkhamsted,1997,Major Employer 2,Sterling Engineering
Barkhamsted,1997,Major Employer 3,Granite APR Dev. Corp.
Barkhamsted,1997,Major Employer 4,Hitchcock Chair
Barkhamsted,1997,Major Employer 5,Olympic Village
Barkhamsted,1997,Major Employer 6,
Barkhamsted,1997,Major Employer 7,
Barkhamsted,1997,Major Employer 8,
Barkhamsted,1997,Major Employer 9,
Barkhamsted,1997,Major Employer 10,
Beacon Falls,1997,Major Employer 1,"Kirsch, Inc."
Beacon Falls,1997,Major Employer 2,C.R. Gibson Distribution Center
Beacon Falls,1997,Major Employer 3,Baker Choice Products
Beacon Falls,1997,Major Employer 4,Knapp Container Manufacturer
Beacon Falls,1997,Major Employer 5,Beacon Falls Town & Schools
Beacon Falls,1997,Major Employer 6,Stamford Data Processing Corp
Beacon Falls,1997,Major Employer 7,Krisch Hardware & Components
Beacon Falls,1997,Major Employer 8,"MIR, Inc."
Beacon Falls,1997,Major Employer 9,"Franzus Company, Inc."
Beacon Falls,1997,Major Employer 10,Naugatuck Valley Savings and Loan
Berlin,1997,Major Employer 1,Connecticut Light & Power Co.
Berlin,1997,Major Employer 2,TCI Cablevision of Connecticut
Berlin,1997,Major Employer 3,Town of Berlin
Berlin,1997,Major Employer 4,Sherwood Industries
Berlin,1997,Major Employer 5,Sam's Club
Berlin,1997,Major Employer 6,
Berlin,1997,Major Employer 7,
Berlin,1997,Major Employer 8,
Berlin,1997,Major Employer 9,
Berlin,1997,Major Employer 10,
Bethany,1997,Major Employer 1,Laticrete International Inc.
Bethany,1997,Major Employer 2,Sorensen Transportation
Bethany,1997,Major Employer 3,Mason-Madison
Bethany,1997,Major Employer 4,Uniroyal Chemical
Bethany,1997,Major Employer 5,Keystone Kennels
Bethany,1997,Major Employer 6,Bethany Veterinary Hospital
Bethany,1997,Major Employer 7,Dagar Software Corp
Bethany,1997,Major Employer 8,Bethany Public Schools
Bethany,1997,Major Employer 9,Amity Regional School District
Bethany,1997,Major Employer 10,CT Sheet Metal
Bethel,1997,Major Employer 1,Eaton Corporation
Bethel,1997,Major Employer 2,Duracell
Bethel,1997,Major Employer 3,Kamthal
Bethel,1997,Major Employer 4,Burndy Corporation
Bethel,1997,Major Employer 5,Stonyhill Inn
Bethel,1997,Major Employer 6,
Bethel,1997,Major Employer 7,
Bethel,1997,Major Employer 8,
Bethel,1997,Major Employer 9,
Bethel,1997,Major Employer 10,
Bethlehem,1997,Major Employer 1,Wellspring Foundation Inc.
Bethlehem,1997,Major Employer 2,Regina Laudis Abbey
Bethlehem,1997,Major Employer 3,Town of Bethlehem
Bethlehem,1997,Major Employer 4,"Woodhall School, Inc."
Bethlehem,1997,Major Employer 5,Bethlehem Elementary School
Bethlehem,1997,Major Employer 6,
Bethlehem,1997,Major Employer 7,
Bethlehem,1997,Major Employer 8,
Bethlehem,1997,Major Employer 9,
Bethlehem,1997,Major Employer 10,
Bloomfield,1997,Major Employer 1,CIGNA
Bloomfield,1997,Major Employer 2,Kaman Corporation
Bloomfield,1997,Major Employer 3,Jacobs Manufacturing
Bloomfield,1997,Major Employer 4,Power Systems Inc.
Bloomfield,1997,Major Employer 5,The J M Ney Co.
Bloomfield,1997,Major Employer 6,
Bloomfield,1997,Major Employer 7,
Bloomfield,1997,Major Employer 8,
Bloomfield,1997,Major Employer 9,
Bloomfield,1997,Major Employer 10,
Bolton,1997,Major Employer 1,"Simoniz, USA"
Bolton,1997,Major Employer 2,Munson's Candies
Bolton,1997,Major Employer 3,Bolton Veterinary Hospital
